,Loss,Accuracy
0,2.180190324783325,0.01171875
1,1.7419159412384033,0.0234375
2,1.37547767162323,0.3046875
3,1.08528733253479,0.8046875
4,0.8935698866844177,0.80859375
5,0.7886567711830139,0.80859375
6,0.7258870005607605,0.80859375
7,0.6976602673530579,0.80859375
8,0.6817847490310669,0.80859375
9,0.6702420711517334,0.80859375
10,0.6618191599845886,0.80859375
11,0.6554219722747803,0.80859375
12,0.6493450999259949,0.80859375
13,0.6441415548324585,0.80859375
14,0.6393409371376038,0.80859375
15,0.6353954076766968,0.80859375
16,0.6310586929321289,0.80859375
17,0.6270840167999268,0.80859375
18,0.6236288547515869,0.80859375
19,0.6202490925788879,0.80859375
