,Loss,Accuracy
0,52.6291389465332,0.013681592419743538
1,17.12855339050293,0.014925372786819935
2,13.253893852233887,0.013681592419743538
3,10.952188491821289,0.01616915501654148
4,9.541413307189941,0.01616915501654148
5,8.160066604614258,0.01616915501654148
6,7.243417263031006,0.01616915501654148
7,6.473421096801758,0.017412934452295303
8,5.915450096130371,0.014925372786819935
9,5.181949615478516,0.01616915501654148
10,4.7574567794799805,0.01616915501654148
11,4.3490705490112305,0.014925372786819935
12,4.034200191497803,0.01616915501654148
13,3.6311116218566895,0.014925372786819935
14,3.3463377952575684,0.01616915501654148
15,3.133981466293335,0.018656715750694275
16,2.895005226135254,0.018656715750694275
17,2.686577558517456,0.01616915501654148
18,2.437793254852295,0.019900497049093246
19,2.318232536315918,0.018656715750694275
