epoch,loss,mae
0,116.8980712890625,8.300029754638672
1,27.152328491210938,3.935391664505005
2,20.402355194091797,3.4400198459625244
3,15.577823638916016,3.045250415802002
4,12.855841636657715,2.754387855529785
5,10.513224601745605,2.4956400394439697
6,9.126632690429688,2.3177406787872314
7,7.322656631469727,2.068113088607788
8,6.088281631469727,1.872316598892212
9,5.21686315536499,1.7695356607437134
10,4.317543029785156,1.5878485441207886
11,3.4027788639068604,1.3888012170791626
12,2.8262598514556885,1.250626802444458
13,2.2778890132904053,1.1195213794708252
14,1.884259581565857,1.0287240743637085
15,1.633596420288086,0.9436802864074707
16,1.4091541767120361,0.8953574895858765
17,1.1291296482086182,0.789880096912384
18,0.9965474009513855,0.7487550973892212
19,0.895163893699646,0.7086368203163147
