epoch,loss,mae
0,163.6131591796875,7.6647491455078125
1,11.248176574707031,2.6257028579711914
2,7.094531536102295,2.095743417739868
3,2.5380125045776367,1.2454414367675781
4,1.7868179082870483,1.0658427476882935
5,2.3684535026550293,1.1760963201522827
6,0.9762006998062134,0.7933920621871948
7,2.964383602142334,1.3342710733413696
8,1.583268404006958,0.974324107170105
9,2.635514736175537,1.247092366218567
10,1.6078263521194458,0.987359881401062
11,5.78399133682251,1.810072660446167
12,1.5074350833892822,0.949113667011261
13,2.928065299987793,1.3548107147216797
14,1.1796327829360962,0.8346337676048279
15,1.265139102935791,0.8724517822265625
16,0.8230369091033936,0.7157163619995117
17,0.8157922029495239,0.7172130346298218
18,0.6656318306922913,0.6497411727905273
19,0.9425212144851685,0.7398959994316101
20,0.8676196932792664,0.7272414565086365
21,2.099837064743042,1.1100881099700928
22,0.8857069611549377,0.7510156035423279
23,0.45974138379096985,0.53278648853302
24,1.3801884651184082,0.9087168574333191
25,2.0004031658172607,1.0897908210754395
26,2.4447240829467773,1.1995874643325806
27,7.786811828613281,2.1711084842681885
28,3.471667528152466,1.4529844522476196
29,1.423807978630066,0.9299845695495605
30,0.6712248921394348,0.6545901298522949
31,1.5548266172409058,0.9682685732841492
32,0.9779495596885681,0.7834784388542175
33,0.6802634596824646,0.6575830578804016
34,5.700339317321777,1.8176941871643066
35,2.9609153270721436,1.3301841020584106
36,2.3528170585632324,1.1828662157058716
37,0.8426618576049805,0.7450730204582214
38,0.37459272146224976,0.4755609631538391
39,0.21587017178535461,0.36273056268692017
40,0.41104984283447266,0.4917496144771576
41,0.8074362874031067,0.6648751497268677
42,0.3200106620788574,0.44453680515289307
43,0.3919457495212555,0.48788461089134216
44,0.6738502979278564,0.640563428401947
45,0.4935993552207947,0.5356726050376892
46,0.9306047558784485,0.7103930711746216
47,1.3540242910385132,0.8992385268211365
48,2.047151565551758,1.122920036315918
49,3.442805528640747,1.4493476152420044
50,0.7581284046173096,0.6814833879470825
51,0.43934357166290283,0.5305492877960205
52,0.762898325920105,0.6760957837104797
53,1.373443603515625,0.8639254570007324
54,0.32572606205940247,0.4500482380390167
55,0.31265461444854736,0.42877307534217834
56,0.9553601741790771,0.7490716576576233
57,0.5333170294761658,0.5598437190055847
58,0.231975719332695,0.3766285181045532
59,0.33304011821746826,0.465431809425354
60,0.28257283568382263,0.4116770327091217
61,0.6828799843788147,0.6359325647354126
62,1.848966121673584,1.0427207946777344
63,1.130801796913147,0.8449493646621704
