epoch,accuracy,loss
0,0.012437811121344566,266.9809875488281
1,0.01616915501654148,161.06613159179688
2,0.017412934452295303,115.45393371582031
3,0.014925372786819935,92.99119567871094
4,0.012437811121344566,79.11651611328125
5,0.014925372786819935,69.08424377441406
6,0.014925372786819935,61.26577377319336
7,0.013681592419743538,54.76839828491211
8,0.013681592419743538,49.70570373535156
9,0.01616915501654148,45.14278793334961
10,0.014925372786819935,41.27322006225586
11,0.013681592419743538,37.89084243774414
12,0.014925372786819935,34.81632995605469
13,0.01616915501654148,32.126220703125
14,0.013681592419743538,29.700517654418945
15,0.014925372786819935,27.57415008544922
16,0.013681592419743538,25.6026554107666
17,0.014925372786819935,23.941204071044922
18,0.013681592419743538,22.275588989257812
19,0.014925372786819935,20.983644485473633
20,0.014925372786819935,19.576812744140625
21,0.013681592419743538,18.407548904418945
22,0.013681592419743538,17.313716888427734
23,0.013681592419743538,16.285255432128906
24,0.013681592419743538,15.397710800170898
25,0.014925372786819935,14.534446716308594
26,0.013681592419743538,13.710090637207031
27,0.013681592419743538,12.895703315734863
28,0.01616915501654148,12.25904655456543
29,0.014925372786819935,11.508270263671875
30,0.01616915501654148,11.003244400024414
31,0.014925372786819935,10.32083797454834
32,0.013681592419743538,9.717894554138184
33,0.014925372786819935,9.117840766906738
34,0.014925372786819935,8.549910545349121
35,0.01616915501654148,8.032960891723633
36,0.017412934452295303,7.434940338134766
37,0.017412934452295303,6.850419044494629
38,0.01616915501654148,6.342695236206055
39,0.014925372786819935,5.787519454956055
40,0.017412934452295303,5.371926307678223
41,0.018656715750694275,4.956511974334717
42,0.017412934452295303,4.530552387237549
43,0.018656715750694275,4.119014739990234
44,0.019900497049093246,3.756361246109009
45,0.019900497049093246,3.4556894302368164
46,0.018656715750694275,3.165647506713867
47,0.018656715750694275,2.942497491836548
48,0.018656715750694275,2.70689058303833
49,0.018656715750694275,2.514220714569092
50,0.019900497049093246,2.2955431938171387
51,0.018656715750694275,2.167159080505371
52,0.019900497049093246,1.9672603607177734
53,0.018656715750694275,1.8204340934753418
54,0.019900497049093246,1.6434940099716187
55,0.019900497049093246,1.5053966045379639
56,0.021144278347492218,1.402666687965393
57,0.021144278347492218,1.286953091621399
58,0.021144278347492218,1.1801140308380127
59,0.019900497049093246,1.0680721998214722
60,0.019900497049093246,0.9533274173736572
61,0.02363184094429016,0.8737026453018188
62,0.021144278347492218,0.8193262219429016
63,0.019900497049093246,0.7354764342308044
